Kenji | Lines cleared: 2 | Words per minute: 17 | Errors per 100 characters: 11 | Seconds played: 19

Barkeshli | Lines cleared: 2 | Words per minute: 17 | Errors per 100 characters: 9 | Seconds played: 16

Bozo | Lines cleared: 0 | Words per minute: 0 | Errors per 100 characters: 9 | Seconds played: 35

Kono | Lines cleared: 2 | Words per minute: 16 | Errors per 100 characters: 3 | Seconds played: 12

Koko | Lines cleared: 2 | Words per minute: 18 | Errors per 100 characters: 11 | Seconds played: 17

Kendo | Lines cleared: 2 | Words per minute: 17 | Errors per 100 characters: 5 | Seconds played: 29

Nomo | Lines cleared: 0 | Words per minute: 0 | Errors per 100 characters: 0 | Seconds played: 35

click | Lines cleared: 2 | Words per minute: 17 | Errors per 100 characters: 8 | Seconds played: 18

click | Lines cleared: 2 | Words per minute: 16 | Errors per 100 characters: 5 | Seconds played: 16

Holo | Lines cleared: 0 | Words per minute: 3 | Errors per 100 characters: 7 | Seconds played: 35

Longid | Lines cleared: 1 | Words per minute: 18 | Errors per 100 characters: 8 | Seconds played: 35

Nono | Lines cleared: 2 | Words per minute: 17 | Errors per 100 characters: 5 | Seconds played: 16

